Data Bencana,,,,,,,,,,,,,,,
No.,ID Kabupaten,Tanggal Kejadian,Kejadian,Lokasi,Kabupaten,Provinsi,Kronologi & Dokumentasi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak,Dampak
66,3301,3/31/2022,PUTING BELIUNG,Kec. Maos  Ds. Kalijaran,CILACAP,JAWA TENGAH,,Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang dan petir,0,0,0,0,0,0,0
67,3301,3/30/2022,PUTING BELIUNG,Kec. Kesugihan Ds. Bulupayung  Kec. Maos Ds. Maos,CILACAP,JAWA TENGAH,,●Hujan lebat yang disertai angin puting beliung,0,0,0,135,0,0,1
68,7313,3/30/2022,PUTING BELIUNG,Kec.  Bola  Ds. Patangnga  Ds. Pasir Putih,WAJO,SULAWESI SELATAN,,●Hujan Disertai Angin Kencang Terjadi Di Desa Pasir Putih dan Desa Patangnga,0,0,1,35,0,0,1
69,1603,3/30/2022,PUTING BELIUNG,Kec. Gelumbang Ds. Suka Jaya,MUARA ENIM,SUMATERA SELATAN,,●Telah terjadi bencana alam angin puting beliung,0,0,0,10,0,0,1
70,7307,3/30/2022,PUTING BELIUNG,Kec. Bulupoddo Ds. Lamatti Riawang,SINJAI,SULAWESI SELATAN,,●Hujan deras yang disertai angin kencang,0,0,1,0,0,0,0
71,3505,3/30/2022,PUTING BELIUNG,Kec. Tawangrejo Ds. Tawangsari,BLITAR,JAWA TIMUR,,●Hujan lebat disertai angin kencang,0,0,0,1,0,0,0
72,3304,3/30/2022,PUTING BELIUNG,Kec. Mandiraja. Ds. Jalatunda,BANJARNEGARA,JAWA TENGAH,,●Hujan es disertai angin dengan intensitas sedang hingga lebat,0,0,0,25,0,0,1
73,1971,3/29/2022,PUTING BELIUNG,Kec. Bukit intan Ds. Temberan,KOTA PANGKALPINANG,KEPULAUAN BANGKA BELITUNG,,hujan disertai angin puting beliung,0,0,0,8,0,2,0
74,3301,3/29/2022,PUTING BELIUNG,Kec. Dayeuhluhur Ds. Panulisan,CILACAP,JAWA TENGAH,,●Hujan deras disertai angin kencang dan petir,0,0,0,14,0,0,1
75,3207,3/29/2022,PUTING BELIUNG,Kec. Cijeungjing  Ds. Cijeungjing Ds. Utama,CIAMIS,JAWA BARAT,,●Hujan Intensitas Tinggi Hujan deras disertai angin kencang,0,0,0,58,0,0,1
76,3529,3/29/2022,PUTING BELIUNG,Kec. Saronggi Ds. Nambakor,SUMENEP,JAWA TIMUR,,●Pada hari selasa tanggal 29 Maret 2022 pukul 14.00 Wib di wilayah  Kab. Sumenep telah terjadi Angin Puting Beliung,0,0,0,31,0,2,1
77,8271,3/29/2022,PUTING BELIUNG,Kec. Ternate Selatan Kec. Ternate Tengah Kec. Ternate Utara Kel. Gambesi Kel. Kampung Pisang Kel. Bastiong Karace Kel. Soasio Kel. Kakasar Timur Kel. Dufadufa,KOTA TERNATE,MALUKU UTARA,,●Curah hujan tinggi disertai angin puting beliung,0,0,0,0,0,0,0
78,3301,3/29/2022,PUTING BELIUNG,Kec. Wanareja Ds. Adimulya Ds. Madusari,CILACAP,JAWA TENGAH,,Hujan intensitas Tinggi disertai Angin kencang,0,0,0,34,0,0,1
79,1904,3/29/2022,PUTING BELIUNG,Kec. Pangakalan Baru Ds. Kebintik,BANGKA TENGAH,KEPULAUAN BANGKA BELITUNG,,Sekitar jam 14.30 terjadi hujan disertai angin,0,0,4,134,0,4,1
80,3510,3/29/2022,PUTING BELIUNG,Kec. Sempu Ds. Jambewangi,BANYUWANGI,JAWA TIMUR,,Hujan intensitas deras disertai angin kencang,0,0,3,3,0,0,0
81,3515,3/28/2022,PUTING BELIUNG,Kec. Jabon Ds. Kedungrejo Ds. Kedungpandan Ds. Semambung,SIDOARJO,JAWA TIMUR,,"Hujan intensitas deras disertai Angin kencang pada hari Minggu, 27 Maret 2022 sekitar pukul 16.30 WIB",0,0,0,7,0,0,0
82,3101,3/28/2022,PUTING BELIUNG,Kec. Kepulauan Seribu Utara Kel. Pulau Kelapa,KEPULAUAN SERIBU,DKI JAKARTA,,Telah terjadi angin puting beliung di Wilayah Kepulauan Seribu Kelurahan Pulau Kelapa pada pukul 21:00 WIB,0,6,4,0,0,0,0
83,3211,3/28/2022,PUTING BELIUNG,"(Desa/Kelurahan, Kec) : Jalan raya Rancakalong-Pamulihan",SUMEDANG,JAWA BARAT,,"Pada hari Senin 28 Maret pukul 12.30 WIB, telah terjadi pohon tumbang",0,0,0,0,0,0,0
84,3509,3/28/2022,PUTING BELIUNG,Kec.  Gumukmas Ds. Kepanjen,JEMBER,JAWA TIMUR,,hujan deras yang disertai angin kencang sehingga mengakibatkan beberapa rumah milik warga dan beberapa pohon roboh,0,0,0,2,0,1,0
85,3505,3/28/2022,PUTING BELIUNG,Kec. Nglegok Ds. Sumber Asri,BLITAR,JAWA TIMUR,,terjadi hujan deras disertai angin Kencang di wilayah Kab. Blitar mengakibatkan kerusakan pada rumah warga,0,0,0,42,0,0,1
